_phrase_,type,grammar_symbol,value
"('Kantsi',)",tänav,TÄNAV,whatevs
"('Kanuti',)",tänav,TÄNAV,whatevs
"('Kapa',)",tänav,TÄNAV,whatevs
"('Artur', 'Kapi')",tänav,TÄNAV,whatevs
"('Kapi',)",tänav,TÄNAV,whatevs
"('Kappeli',)",tänav,TÄNAV,whatevs
"('Johannes', 'Kappeli')",tänav,TÄNAV,whatevs
"('Kapteni',)",tänav,TÄNAV,whatevs
"('Karamelli',)",tänav,TÄNAV,whatevs
"('Kari',)",tänav,TÄNAV,whatevs
"('Karikakra',)",tänav,TÄNAV,whatevs
"('Karitsa',)",tänav,TÄNAV,whatevs
"('Karja',)",tänav,TÄNAV,whatevs
"('Karjaaia',)",tänav,TÄNAV,whatevs
"('Karjamaa',)",tänav,TÄNAV,whatevs
"('Karjatee',)",tänav,TÄNAV,whatevs
"('Karjatse',)",tänav,TÄNAV,whatevs
"('Karjääri',)",tänav,TÄNAV,whatevs
"('Karlova',)",tänav,TÄNAV,whatevs
"('Karmiini',)",tänav,TÄNAV,whatevs
"('Karpkala',)",tänav,TÄNAV,whatevs
"('Karsti',)",tänav,TÄNAV,whatevs
"('Kartuli',)",tänav,TÄNAV,whatevs
"('Karu',)",tänav,TÄNAV,whatevs
"('Karusambla',)",tänav,TÄNAV,whatevs
"('Karuse',)",tänav,TÄNAV,whatevs
"('Karuslase',)",tänav,TÄNAV,whatevs
"('Karusmarja',)",tänav,TÄNAV,whatevs
"('Karusselli',)",tänav,TÄNAV,whatevs
"('Kassepa',)",tänav,TÄNAV,whatevs
"('Kassi',)",tänav,TÄNAV,whatevs
"('Kassikulla',)",tänav,TÄNAV,whatevs
"('Kastani',)",tänav,TÄNAV,whatevs
"('Kaste',)",tänav,TÄNAV,whatevs
"('Kasteheina',)",tänav,TÄNAV,whatevs
"('Kastre',)",tänav,TÄNAV,whatevs
"('Kasvu',)",tänav,TÄNAV,whatevs
"('Katariina',)",tänav,TÄNAV,whatevs
"('Katla',)",tänav,TÄNAV,whatevs
"('Katlamaja',)",tänav,TÄNAV,whatevs
"('Katleri',)",tänav,TÄNAV,whatevs
"('Katmiku',)",tänav,TÄNAV,whatevs
"('Katse',)",tänav,TÄNAV,whatevs
"('Katusepapi',)",tänav,TÄNAV,whatevs
"('Kauba',)",tänav,TÄNAV,whatevs
"('Kaubamaja',)",tänav,TÄNAV,whatevs
"('Kauge',)",tänav,TÄNAV,whatevs
"('Kauguse',)",tänav,TÄNAV,whatevs
"('Kauka',)",tänav,TÄNAV,whatevs
"('Kauna',)",tänav,TÄNAV,whatevs
"('Kaunis',)",tänav,TÄNAV,whatevs
"('Kaunismäe',)",tänav,TÄNAV,whatevs
"('Kaupluse',)",tänav,TÄNAV,whatevs
"('Kaupmehe',)",tänav,TÄNAV,whatevs
"('Kauri',)",tänav,TÄNAV,whatevs
"('Keava',)",tänav,TÄNAV,whatevs
"('Kedriku',)",tänav,TÄNAV,whatevs
"('Keemia',)",tänav,TÄNAV,whatevs
"('Keemikute',)",tänav,TÄNAV,whatevs
"('Keevise',)",tänav,TÄNAV,whatevs
"('Keisripalu',)",tänav,TÄNAV,whatevs
"('Keldrimäe',)",tänav,TÄNAV,whatevs
"('Kella',)",tänav,TÄNAV,whatevs
"('Kellamäe',)",tänav,TÄNAV,whatevs
"('Kelluka',)",tänav,TÄNAV,whatevs
"('Kellukese',)",tänav,TÄNAV,whatevs
"('Kentmanni',)",tänav,TÄNAV,whatevs
"('Keraamika',)",tänav,TÄNAV,whatevs
"('Paul', 'Kerese')",tänav,TÄNAV,whatevs
"('Kerese',)",tänav,TÄNAV,whatevs
"('Kerise',)",tänav,TÄNAV,whatevs
"('Kesa',)",tänav,TÄNAV,whatevs
"('Kesakanni',)",tänav,TÄNAV,whatevs
"('Kesk-Aguli',)",tänav,TÄNAV,whatevs
"('Kesk-Alemanni',)",tänav,TÄNAV,whatevs
"('Kesk-Ameerika',)",tänav,TÄNAV,whatevs
"('Keskasula',)",tänav,TÄNAV,whatevs
"('Kesk-Kaare',)",tänav,TÄNAV,whatevs
"('Kesk-Kalamaja',)",tänav,TÄNAV,whatevs
"('Kesk-Kompassi',)",tänav,TÄNAV,whatevs
"('Keskkooli',)",tänav,TÄNAV,whatevs
"('Keskküla',)",tänav,TÄNAV,whatevs
"('Kesk-Liiva',)",tänav,TÄNAV,whatevs
"('Kesk-Luha',)",tänav,TÄNAV,whatevs
"('Kesk-Sõjamäe',)",tänav,TÄNAV,whatevs
"('Keskuse',)",tänav,TÄNAV,whatevs
"('Kessi',)",tänav,TÄNAV,whatevs
"('Kesva',)",tänav,TÄNAV,whatevs
"('Ketraja',)",tänav,TÄNAV,whatevs
"('Ketta',)",tänav,TÄNAV,whatevs
"('Kevade',)",tänav,TÄNAV,whatevs
"('Kibuvitsa',)",tänav,TÄNAV,whatevs
"('Kihnu',)",tänav,TÄNAV,whatevs
"('Kiige',)",tänav,TÄNAV,whatevs
"('Kiigemäe',)",tänav,TÄNAV,whatevs
"('Kiikre',)",tänav,TÄNAV,whatevs
"('Kiikri',)",tänav,TÄNAV,whatevs
"('Kiili',)",tänav,TÄNAV,whatevs
"('Kiini',)",tänav,TÄNAV,whatevs
"('Kiire',)",tänav,TÄNAV,whatevs
"('Kiisa',)",tänav,TÄNAV,whatevs
"('Kiive',)",tänav,TÄNAV,whatevs
"('Kiivitaja',)",tänav,TÄNAV,whatevs
"('Kilbi',)",tänav,TÄNAV,whatevs
"('Kilde',)",tänav,TÄNAV,whatevs
"('Kilgi',)",tänav,TÄNAV,whatevs
"('Killustiku',)",tänav,TÄNAV,whatevs
"('Kilu',)",tänav,TÄNAV,whatevs
"('Kindluse',)",tänav,TÄNAV,whatevs
"('Kinga',)",tänav,TÄNAV,whatevs
"('Viktor', 'Kingissepa')",tänav,TÄNAV,whatevs
"('Kingissepa',)",tänav,TÄNAV,whatevs
"('Kingu',)",tänav,TÄNAV,whatevs
"('Kirde',)",tänav,TÄNAV,whatevs
"('Kirdekaare',)",tänav,TÄNAV,whatevs
"('Kirikaia',)",tänav,TÄNAV,whatevs
"('Kiriku',)",tänav,TÄNAV,whatevs
"('Kirikumõisa',)",tänav,TÄNAV,whatevs
"('Kirilase',)",tänav,TÄNAV,whatevs
"('Kirjaniku',)",tänav,TÄNAV,whatevs
"('Sergei', 'Kirovi')",tänav,TÄNAV,whatevs
"('Kirovi',)",tänav,TÄNAV,whatevs
"('Kirsi',)",tänav,TÄNAV,whatevs
"('Kirsipuu',)",tänav,TÄNAV,whatevs
"('Kitsas',)",tänav,TÄNAV,whatevs
"('Kitse',)",tänav,TÄNAV,whatevs
"('Elmar', 'Kitse')",tänav,TÄNAV,whatevs
"('Kitsekopli',)",tänav,TÄNAV,whatevs
"('Kitseküla',)",tänav,TÄNAV,whatevs
"('August', 'Kitzbergi')",tänav,TÄNAV,whatevs
"('Kitzbergi',)",tänav,TÄNAV,whatevs
"('Kiuru',)",tänav,TÄNAV,whatevs
"('Kivi',)",tänav,TÄNAV,whatevs
"('Kiviaia',)",tänav,TÄNAV,whatevs
"('Kivikangru',)",tänav,TÄNAV,whatevs
"('Kivikülvi',)",tänav,TÄNAV,whatevs
"('Kivila',)",tänav,TÄNAV,whatevs
"('Kivileete',)",tänav,TÄNAV,whatevs
"('Kivilille',)",tänav,TÄNAV,whatevs
"('Kiviloo',)",tänav,TÄNAV,whatevs
"('Kivimaa',)",tänav,TÄNAV,whatevs
"('Kivimurru',)",tänav,TÄNAV,whatevs
"('Kivimäe',)",tänav,TÄNAV,whatevs
"('Kivipere',)",tänav,TÄNAV,whatevs
"('Kivipõllu',)",tänav,TÄNAV,whatevs
"('Kivirahnu',)",tänav,TÄNAV,whatevs
"('Kiviranna',)",tänav,TÄNAV,whatevs
"('Kiviriku',)",tänav,TÄNAV,whatevs
"('Kivisilla',)",tänav,TÄNAV,whatevs
"('Kivistiku',)",tänav,TÄNAV,whatevs
"('Jüri', 'Kivistiku')",tänav,TÄNAV,whatevs
"('Kivitee',)",tänav,TÄNAV,whatevs
"('Klaasi',)",tänav,TÄNAV,whatevs
"('Vilhelmine', 'Klementi')",tänav,TÄNAV,whatevs
"('Klementi',)",tänav,TÄNAV,whatevs
"('Klindi',)",tänav,TÄNAV,whatevs
"('Kloostri',)",tänav,TÄNAV,whatevs
"('Klubi',)",tänav,TÄNAV,whatevs
"('Kodala',)",tänav,TÄNAV,whatevs
"('Kodara',)",tänav,TÄNAV,whatevs
"('Kodu',)",tänav,TÄNAV,whatevs
"('Kodukolde',)",tänav,TÄNAV,whatevs
"('Koemetsa',)",tänav,TÄNAV,whatevs
"('Koge',)",tänav,TÄNAV,whatevs
"('Kogre',)",tänav,TÄNAV,whatevs
"('Kogukonna',)",tänav,TÄNAV,whatevs
"('Kohila',)",tänav,TÄNAV,whatevs
"('Kohtu',)",tänav,TÄNAV,whatevs
"('Kohvi',)",tänav,TÄNAV,whatevs
"('Koi',)",tänav,TÄNAV,whatevs
"('Koidiku',)",tänav,TÄNAV,whatevs
"('Kolmikkaare',)",tänav,TÄNAV,whatevs
"('Kolmiku',)",tänav,TÄNAV,whatevs
"('Komandandi',)",tänav,TÄNAV,whatevs
"('Vladimir', 'Komarovi')",tänav,TÄNAV,whatevs
"('Komarovi',)",tänav,TÄNAV,whatevs
"('Kombinaadi',)",tänav,TÄNAV,whatevs
"('Komeedi',)",tänav,TÄNAV,whatevs
"('Kompanii',)",tänav,TÄNAV,whatevs
"('Kompassi',)",tänav,TÄNAV,whatevs
"('Komsomoli',)",tänav,TÄNAV,whatevs
"('Komsomolskaja',)",tänav,TÄNAV,whatevs
"('Alfred', 'Kongo')",tänav,TÄNAV,whatevs
"('Kongo',)",tänav,TÄNAV,whatevs
"('Konstantini',)",tänav,TÄNAV,whatevs
"('Koogu',)",tänav,TÄNAV,whatevs
"('Kooli',)",tänav,TÄNAV,whatevs
"('Kooliaia',)",tänav,TÄNAV,whatevs
"('Koolitare',)",tänav,TÄNAV,whatevs
"('Koondise',)",tänav,TÄNAV,whatevs
"('Koore',)",tänav,TÄNAV,whatevs
"('Jaan', 'Koorti')",tänav,TÄNAV,whatevs
"('Koorti',)",tänav,TÄNAV,whatevs
"('Koovitaja',)",tänav,TÄNAV,whatevs
"('Kopli',)",tänav,TÄNAV,whatevs
"('Kopliranna',)",tänav,TÄNAV,whatevs
"('Kordoni',)",tänav,TÄNAV,whatevs
"('Koreli',)",tänav,TÄNAV,whatevs
"('Korese',)",tänav,TÄNAV,whatevs
"('Korgi',)",tänav,TÄNAV,whatevs
"('Koru',)",tänav,TÄNAV,whatevs
"('Kose',)",tänav,TÄNAV,whatevs
"('Kosejõe',)",tänav,TÄNAV,whatevs
"('Kosemetsa',)",tänav,TÄNAV,whatevs
"('Kosenõmme',)",tänav,TÄNAV,whatevs
"('Kosevälja',)",tänav,TÄNAV,whatevs
"('Koskla',)",tänav,TÄNAV,whatevs
"('Kosmonaudi',)",tänav,TÄNAV,whatevs
"('Kotermaa',)",tänav,TÄNAV,whatevs
"('Koti',)",tänav,TÄNAV,whatevs
"('Kotinuka',)",tänav,TÄNAV,whatevs
"('Kotka',)",tänav,TÄNAV,whatevs
"('Kotkapoja',)",tänav,TÄNAV,whatevs
"('Kotlepi',)",tänav,TÄNAV,whatevs
"('Kotzebue',)",tänav,TÄNAV,whatevs
"('Kraavi',)",tänav,TÄNAV,whatevs
"('Kraavikalda',)",tänav,TÄNAV,whatevs
"('Kreegi',)",tänav,TÄNAV,whatevs
"('Kreegipuu',)",tänav,TÄNAV,whatevs
"('Kreenholmi',)",tänav,TÄNAV,whatevs
"('Kressi',)",tänav,TÄNAV,whatevs
"('Jaan', 'Kreuksi')",tänav,TÄNAV,whatevs
"('Kreuksi',)",tänav,TÄNAV,whatevs
"('Kreutzwaldi',)",tänav,TÄNAV,whatevs
"('Friedrich', 'Reinhold', 'Kreutzwaldi')",tänav,TÄNAV,whatevs
"('Kriibi',)",tänav,TÄNAV,whatevs
"('Kriidi',)",tänav,TÄNAV,whatevs
"('Kristalli',)",tänav,TÄNAV,whatevs
"('Kristeni',)",tänav,TÄNAV,whatevs
"('Kristiina',)",tänav,TÄNAV,whatevs
"('Kroodi',)",tänav,TÄNAV,whatevs
"('Krookuse',)",tänav,TÄNAV,whatevs
"('Kroomi',)",tänav,TÄNAV,whatevs
"('Krooni',)",tänav,TÄNAV,whatevs
"('Kroonuaia',)",tänav,TÄNAV,whatevs
"('Kruusa',)",tänav,TÄNAV,whatevs
"('Kruusaaugu',)",tänav,TÄNAV,whatevs
"('Kruusakuru',)",tänav,TÄNAV,whatevs
"('Kruusamäe',)",tänav,TÄNAV,whatevs
"('Kruusavälja',)",tänav,TÄNAV,whatevs
"('Ivan', 'Krõlovi')",tänav,TÄNAV,whatevs
"('Krõlovi',)",tänav,TÄNAV,whatevs
"('Krüsanteemi',)",tänav,TÄNAV,whatevs
"('Krüüsli',)",tänav,TÄNAV,whatevs
"('Kubja',)",tänav,TÄNAV,whatevs
"('Kubu',)",tänav,TÄNAV,whatevs
"('Kudruküla',)",tänav,TÄNAV,whatevs
"('Kudu',)",tänav,TÄNAV,whatevs
"('Kuhja',)",tänav,TÄNAV,whatevs
"('Friedrich', 'Kuhlbarsi')",tänav,TÄNAV,whatevs
"('Kuhlbarsi',)",tänav,TÄNAV,whatevs
"('Kuiv',)",tänav,TÄNAV,whatevs
"('Kuivati',)",tänav,TÄNAV,whatevs
"('Kuke',)",tänav,TÄNAV,whatevs
"('Kukeseene',)",tänav,TÄNAV,whatevs
"('Kuklase',)",tänav,TÄNAV,whatevs
"('Kukulinnu',)",tänav,TÄNAV,whatevs
"('Kulbimäe',)",tänav,TÄNAV,whatevs
"('Kulbioru',)",tänav,TÄNAV,whatevs
"('Kuldnoka',)",tänav,TÄNAV,whatevs
"('Kuldse', 'Kodu')",tänav,TÄNAV,whatevs
"('Kuldtiiva',)",tänav,TÄNAV,whatevs
"('Kuldvihma',)",tänav,TÄNAV,whatevs
"('Kulgu',)",tänav,TÄNAV,whatevs
"('Kuljuse',)",tänav,TÄNAV,whatevs
"('Kulla',)",tänav,TÄNAV,whatevs
"('Kullamaa',)",tänav,TÄNAV,whatevs
"('Kullamäe',)",tänav,TÄNAV,whatevs
"('Kullassepa',)",tänav,TÄNAV,whatevs
"('Kullerkupu',)",tänav,TÄNAV,whatevs
"('Kullese',)",tänav,TÄNAV,whatevs
"('Kulli',)",tänav,TÄNAV,whatevs
"('Kullioru',)",tänav,TÄNAV,whatevs
"('Kultuurikeskuse',)",tänav,TÄNAV,whatevs
"('Kultuurimaja',)",tänav,TÄNAV,whatevs
"('Kumalase',)",tänav,TÄNAV,whatevs
"('Kume',)",tänav,TÄNAV,whatevs
"('Kummeli',)",tänav,TÄNAV,whatevs
"('Kunderi',)",tänav,TÄNAV,whatevs
"('Jakob', 'Kunderi')",tänav,TÄNAV,whatevs
"('Juhan', 'Kunderi')",tänav,TÄNAV,whatevs
"('Kungla',)",tänav,TÄNAV,whatevs
"('Kuninga',)",tänav,TÄNAV,whatevs
"('Julius', 'Kuperjanovi')",tänav,TÄNAV,whatevs
"('Kuperjanovi',)",tänav,TÄNAV,whatevs
"('Kura',)",tänav,TÄNAV,whatevs
"('Kure',)",tänav,TÄNAV,whatevs
"('Kuremarja',)",tänav,TÄNAV,whatevs
"('Kurepõllu',)",tänav,TÄNAV,whatevs
"('Kuressaare',)",tänav,TÄNAV,whatevs
"('Kurgi',)",tänav,TÄNAV,whatevs
"('Kuristiku',)",tänav,TÄNAV,whatevs
"('Kurisu',)",tänav,TÄNAV,whatevs
"('Kurma',)",tänav,TÄNAV,whatevs
"('Kurmu',)",tänav,TÄNAV,whatevs
"('Kurni',)",tänav,TÄNAV,whatevs
"('Andreas', 'Kurrikoffi')",tänav,TÄNAV,whatevs
"('Kurrikoffi',)",tänav,TÄNAV,whatevs
"('Kuru',)",tänav,TÄNAV,whatevs
"('Kurvitsa',)",tänav,TÄNAV,whatevs
"('Kuslapuu',)",tänav,TÄNAV,whatevs
"('Kustavi',)",tänav,TÄNAV,whatevs
"('Kutse',)",tänav,TÄNAV,whatevs
"('Kuu',)",tänav,TÄNAV,whatevs
"('Kuubi',)",tänav,TÄNAV,whatevs
"('Kuuli',)",tänav,TÄNAV,whatevs
"('Kuuma',)",tänav,TÄNAV,whatevs
"('Kuunari',)",tänav,TÄNAV,whatevs
"('Kuuse',)",tänav,TÄNAV,whatevs
"('Kuuseheki',)",tänav,TÄNAV,whatevs
"('Kuusekese',)",tänav,TÄNAV,whatevs
"('Kuusemetsa',)",tänav,TÄNAV,whatevs
"('Kuusiku',)",tänav,TÄNAV,whatevs
"('32.', 'kvartali')",tänav,TÄNAV,whatevs
"('kvartali',)",tänav,TÄNAV,whatevs
"('Kvartsi',)",tänav,TÄNAV,whatevs
"('Kvartsliiva',)",tänav,TÄNAV,whatevs
"('Endel', 'Kõksi')",tänav,TÄNAV,whatevs
"('Kõksi',)",tänav,TÄNAV,whatevs
"('Kõla',)",tänav,TÄNAV,whatevs
"('Kõlakoja',)",tänav,TÄNAV,whatevs
"('Kõnnu',)",tänav,TÄNAV,whatevs
"('Kõnnumaa',)",tänav,TÄNAV,whatevs
"('Kõpu',)",tänav,TÄNAV,whatevs
"('Kõrge',)",tänav,TÄNAV,whatevs
"('Kõrgemäe',)",tänav,TÄNAV,whatevs
"('Kõrgepinge',)",tänav,TÄNAV,whatevs
"('Kõrkja',)",tänav,TÄNAV,whatevs
"('Kõrre',)",tänav,TÄNAV,whatevs
"('Kõrve',)",tänav,TÄNAV,whatevs
"('Kõrvitsa',)",tänav,TÄNAV,whatevs
"('Kõue',)",tänav,TÄNAV,whatevs
"('Kõver',)",tänav,TÄNAV,whatevs
"('Käba',)",tänav,TÄNAV,whatevs
"('Käbi',)",tänav,TÄNAV,whatevs
"('Käbliku',)",tänav,TÄNAV,whatevs
"('Kähri',)",tänav,TÄNAV,whatevs
"('Kähriku',)",tänav,TÄNAV,whatevs
"('Käia',)",tänav,TÄNAV,whatevs
"('Johannes', 'Käisi')",tänav,TÄNAV,whatevs
"('Käisi',)",tänav,TÄNAV,whatevs
"('Kändliku',)",tänav,TÄNAV,whatevs
"('Kännu',)",tänav,TÄNAV,whatevs
"('Käo',)",tänav,TÄNAV,whatevs
"('Käolina',)",tänav,TÄNAV,whatevs
"('Kristjan', 'Kärberi')",tänav,TÄNAV,whatevs
"('Kärberi',)",tänav,TÄNAV,whatevs
"('Kärbi',)",tänav,TÄNAV,whatevs
"('Kärestiku',)",tänav,TÄNAV,whatevs
"('Kärje',)",tänav,TÄNAV,whatevs
"('Kärneri',)",tänav,TÄNAV,whatevs
"('Jaan', 'Kärneri')",tänav,TÄNAV,whatevs
"('Käru',)",tänav,TÄNAV,whatevs
"('Kätki',)",tänav,TÄNAV,whatevs
"('Käva',)",tänav,TÄNAV,whatevs
"('Käänu',)",tänav,TÄNAV,whatevs
"('Käärdi',)",tänav,TÄNAV,whatevs
"('Kääru',)",tänav,TÄNAV,whatevs
"('Köie',)",tänav,TÄNAV,whatevs
"('Köleri',)",tänav,TÄNAV,whatevs
"('Johann', 'Köleri')",tänav,TÄNAV,whatevs
"('Martin', 'Körberi')",tänav,TÄNAV,whatevs
"('Körberi',)",tänav,TÄNAV,whatevs
"('Köstri',)",tänav,TÄNAV,whatevs
"('Köömne',)",tänav,TÄNAV,whatevs
"('Küla',)",tänav,TÄNAV,whatevs
"('Külma',)",tänav,TÄNAV,whatevs
"('Külmallika',)",tänav,TÄNAV,whatevs
"('Külvi',)",tänav,TÄNAV,whatevs
"('Künka',)",tänav,TÄNAV,whatevs
"('Künkamaa',)",tänav,TÄNAV,whatevs
"('Künnapuu',)",tänav,TÄNAV,whatevs
"('Künni',)",tänav,TÄNAV,whatevs
"('Küti',)",tänav,TÄNAV,whatevs
"('Kütise',)",tänav,TÄNAV,whatevs
"('Kütte',)",tänav,TÄNAV,whatevs
"('Küttejõu',)",tänav,TÄNAV,whatevs
"('Kütuse',)",tänav,TÄNAV,whatevs
"('Küüni',)",tänav,TÄNAV,whatevs
"('Küüslaugu',)",tänav,TÄNAV,whatevs
"('Küütri',)",tänav,TÄNAV,whatevs
"('Küütsu',)",tänav,TÄNAV,whatevs
"('Laada',)",tänav,TÄNAV,whatevs
"('Laane',)",tänav,TÄNAV,whatevs
"('Laanesoo',)",tänav,TÄNAV,whatevs
"('Laaniku',)",tänav,TÄNAV,whatevs
"('Laastu',)",tänav,TÄNAV,whatevs
"('Laatsareti',)",tänav,TÄNAV,whatevs
"('Laatsi',)",tänav,TÄNAV,whatevs
"('Laboratooriumi',)",tänav,TÄNAV,whatevs
"('Ladu',)",tänav,TÄNAV,whatevs
"('Ladva',)",tänav,TÄNAV,whatevs
"('Laeva',)",tänav,TÄNAV,whatevs
"('Laevastiku',)",tänav,TÄNAV,whatevs
"('Lagedi',)",tänav,TÄNAV,whatevs
"('Lageloo',)",tänav,TÄNAV,whatevs
"('Lagendiku',)",tänav,TÄNAV,whatevs
"('Lagle',)",tänav,TÄNAV,whatevs
"('Lahe',)",tänav,TÄNAV,whatevs
"('Lahepea',)",tänav,TÄNAV,whatevs
"('Lahesuu',)",tänav,TÄNAV,whatevs
"('Lai',)",tänav,TÄNAV,whatevs
"('Laidu',)",tänav,TÄNAV,whatevs
"('Arkadio', 'Laigo')",tänav,TÄNAV,whatevs
"('Laigo',)",tänav,TÄNAV,whatevs
"('Ants', 'Laikmaa')",tänav,TÄNAV,whatevs
"('Laikmaa',)",tänav,TÄNAV,whatevs
"('Laine',)",tänav,TÄNAV,whatevs
"('Laiu',)",tänav,TÄNAV,whatevs
"('Laki',)",tänav,TÄNAV,whatevs
"('Lambi',)",tänav,TÄNAV,whatevs
"('Lammi',)",tänav,TÄNAV,whatevs
"('Landi',)",tänav,TÄNAV,whatevs
"('Langevarjuri',)",tänav,TÄNAV,whatevs
"('Langu',)",tänav,TÄNAV,whatevs
"('Lao',)",tänav,TÄNAV,whatevs
"('Laose',)",tänav,TÄNAV,whatevs
"('Peeter', 'Laredei')",tänav,TÄNAV,whatevs
"('Laredei',)",tänav,TÄNAV,whatevs
"('Laseri',)",tänav,TÄNAV,whatevs
"('Laskeraja',)",tänav,TÄNAV,whatevs
"('Lasketiiru',)",tänav,TÄNAV,whatevs
"('Laskuri',)",tänav,TÄNAV,whatevs
"('Lasnamäe',)",tänav,TÄNAV,whatevs
"('Laste',)",tänav,TÄNAV,whatevs
"('Lasteaia',)",tänav,TÄNAV,whatevs
"('Lastekodu',)",tänav,TÄNAV,whatevs
"('Lati',)",tänav,TÄNAV,whatevs
"('Latika',)",tänav,TÄNAV,whatevs
"('Laua',)",tänav,TÄNAV,whatevs
"('Laugu',)",tänav,TÄNAV,whatevs
"('Lauka',)",tänav,TÄNAV,whatevs
"('Laukasoo',)",tänav,TÄNAV,whatevs
"('Lauliku',)",tänav,TÄNAV,whatevs
"('Laulu',)",tänav,TÄNAV,whatevs
"('Laulupeo',)",tänav,TÄNAV,whatevs
"('Lauluväljaku',)",tänav,TÄNAV,whatevs
"('Lauri',)",tänav,TÄNAV,whatevs
"('Lauripere',)",tänav,TÄNAV,whatevs
"('Ants', 'Lauteri')",tänav,TÄNAV,whatevs
"('Lauteri',)",tänav,TÄNAV,whatevs
"('Lavamaa',)",tänav,TÄNAV,whatevs
"('Lavassaare',)",tänav,TÄNAV,whatevs
"('Lavretsovi',)",tänav,TÄNAV,whatevs
"('Lee',)",tänav,TÄNAV,whatevs
"('Leediku',)",tänav,TÄNAV,whatevs
"('Leegi',)",tänav,TÄNAV,whatevs
"('Leesika',)",tänav,TÄNAV,whatevs
"('Leete',)",tänav,TÄNAV,whatevs
"('Leetpõõsa',)",tänav,TÄNAV,whatevs
"('Leetse',)",tänav,TÄNAV,whatevs
"('Leevikese',)",tänav,TÄNAV,whatevs
"('Lehe',)",tänav,TÄNAV,whatevs
"('Lehise',)",tänav,TÄNAV,whatevs
"('Lehola',)",tänav,TÄNAV,whatevs
"('Lehtla',)",tänav,TÄNAV,whatevs
"('Lehtmetsa',)",tänav,TÄNAV,whatevs
"('Lehtmäe',)",tänav,TÄNAV,whatevs
"('Lehtpuu',)",tänav,TÄNAV,whatevs
"('Lehtri',)",tänav,TÄNAV,whatevs
"('Leigeri',)",tänav,TÄNAV,whatevs
"('Leili',)",tänav,TÄNAV,whatevs
"('Leina',)",tänav,TÄNAV,whatevs
"('Leinakase',)",tänav,TÄNAV,whatevs
"('Leiva',)",tänav,TÄNAV,whatevs
"('Lelle',)",tänav,TÄNAV,whatevs
"('Lembitu',)",tänav,TÄNAV,whatevs
"('Lemle',)",tänav,TÄNAV,whatevs
"('Lemmatsi',)",tänav,TÄNAV,whatevs
"('Lemmiku',)",tänav,TÄNAV,whatevs
"('Leningradi',)",tänav,TÄNAV,whatevs
"('Lenini',)",tänav,TÄNAV,whatevs
"('Lennu',)",tänav,TÄNAV,whatevs
"('Lennuki',)",tänav,TÄNAV,whatevs
"('Lennusadama',)",tänav,TÄNAV,whatevs
"('Lennuse',)",tänav,TÄNAV,whatevs
"('Lennuvälja',)",tänav,TÄNAV,whatevs
"('Leola',)",tänav,TÄNAV,whatevs
"('Lepa',)",tänav,TÄNAV,whatevs
"('Lepalaane',)",tänav,TÄNAV,whatevs
"('Lepalinnu',)",tänav,TÄNAV,whatevs
"('Lepaluku',)",tänav,TÄNAV,whatevs
"('Lepasalu',)",tänav,TÄNAV,whatevs
"('Lepassaare',)",tänav,TÄNAV,whatevs
"('Lepatriinu',)",tänav,TÄNAV,whatevs
"('Lepiku',)",tänav,TÄNAV,whatevs
"('Lepispea',)",tänav,TÄNAV,whatevs
"('Lepplaane',)",tänav,TÄNAV,whatevs
"('Lese',)",tänav,TÄNAV,whatevs
"('Lesta',)",tänav,TÄNAV,whatevs
"('Levalohu',)",tänav,TÄNAV,whatevs
"('Lible',)",tänav,TÄNAV,whatevs
"('Liblika',)",tänav,TÄNAV,whatevs
"('?', 'Liiduri')",tänav,TÄNAV,whatevs
"('Liiduri',)",tänav,TÄNAV,whatevs
"('Liikuri',)",tänav,TÄNAV,whatevs
"('Liilia',)",tänav,TÄNAV,whatevs
"('Kaarel', 'Liimandi')",tänav,TÄNAV,whatevs
"('Liimandi',)",tänav,TÄNAV,whatevs
"('Liimi',)",tänav,TÄNAV,whatevs
"('Liini',)",tänav,TÄNAV,whatevs
"('Liinivahe',)",tänav,TÄNAV,whatevs
"('Liipri',)",tänav,TÄNAV,whatevs
"('Liitva',)",tänav,TÄNAV,whatevs
"('Liiva',)",tänav,TÄNAV,whatevs
"('Liivaaugu',)",tänav,TÄNAV,whatevs
"('Liivajõe',)",tänav,TÄNAV,whatevs
"('Liivakivi',)",tänav,TÄNAV,whatevs
"('Liivakuru',)",tänav,TÄNAV,whatevs
"('Liivalaia',)",tänav,TÄNAV,whatevs
"('Liivaluite',)",tänav,TÄNAV,whatevs
"('Liivametsa',)",tänav,TÄNAV,whatevs
"('Liivamäe',)",tänav,TÄNAV,whatevs
"('Liivaoja',)",tänav,TÄNAV,whatevs
"('Liivi',)",tänav,TÄNAV,whatevs
"('Jakob', 'Liivi')",tänav,TÄNAV,whatevs
"('?Juhan', 'Liivi')",tänav,TÄNAV,whatevs
"('Juhan', 'Liivi')",tänav,TÄNAV,whatevs
"('Liiviku',)",tänav,TÄNAV,whatevs
"('Lille',)",tänav,TÄNAV,whatevs
"('Lilleoru',)",tänav,TÄNAV,whatevs
"('Lillevälja',)",tänav,TÄNAV,whatevs
"('Lina',)",tänav,TÄNAV,whatevs
"('Linaski',)",tänav,TÄNAV,whatevs
"('Linda',)",tänav,TÄNAV,whatevs
"('?Leopold', 'Linderi')",tänav,TÄNAV,whatevs
