_phrase_,type,grammar_symbol,value
"('Alu',)",tänav,TÄNAV,whatevs
"('Alutaguse',)",tänav,TÄNAV,whatevs
"('Alvari',)",tänav,TÄNAV,whatevs
"('Betti', 'Alveri')",tänav,TÄNAV,whatevs
"('Alveri',)",tänav,TÄNAV,whatevs
"('Ambulatooriumi',)",tänav,TÄNAV,whatevs
"('Amburi',)",tänav,TÄNAV,whatevs
"('Ammoni',)",tänav,TÄNAV,whatevs
"('Andrease',)",tänav,TÄNAV,whatevs
"('Andrese',)",tänav,TÄNAV,whatevs
"('Angerja',)",tänav,TÄNAV,whatevs
"('Angerpisti',)",tänav,TÄNAV,whatevs
"('Angervaksa',)",tänav,TÄNAV,whatevs
"('Aniliini',)",tänav,TÄNAV,whatevs
"('Ankru',)",tänav,TÄNAV,whatevs
"('Anne',)",tänav,TÄNAV,whatevs
"('Annemõisa',)",tänav,TÄNAV,whatevs
"('Anni',)",tänav,TÄNAV,whatevs
"('Antenni',)",tänav,TÄNAV,whatevs
"('Antsla',)",tänav,TÄNAV,whatevs
"('Aleksander', 'Antsoni')",tänav,TÄNAV,whatevs
"('Antsoni',)",tänav,TÄNAV,whatevs
"('Antsu',)",tänav,TÄNAV,whatevs
"('Jaan', 'Anveldi')",tänav,TÄNAV,whatevs
"('Anveldi',)",tänav,TÄNAV,whatevs
"('Ao',)",tänav,TÄNAV,whatevs
"('Apteegi',)",tänav,TÄNAV,whatevs
"('Araku',)",tänav,TÄNAV,whatevs
"('Arbi',)",tänav,TÄNAV,whatevs
"('Arbimäe',)",tänav,TÄNAV,whatevs
"('Arbu',)",tänav,TÄNAV,whatevs
"('Peet', 'Areni')",tänav,TÄNAV,whatevs
"('Areni',)",tänav,TÄNAV,whatevs
"('Arhiivi',)",tänav,TÄNAV,whatevs
"('Arhitekti',)",tänav,TÄNAV,whatevs
"('Armatuuri',)",tänav,TÄNAV,whatevs
"('Aroonia',)",tänav,TÄNAV,whatevs
"('Artelli',)",tänav,TÄNAV,whatevs
"('Aru',)",tänav,TÄNAV,whatevs
"('Arukase',)",tänav,TÄNAV,whatevs
"('Arumäe',)",tänav,TÄNAV,whatevs
"('Aruserva',)",tänav,TÄNAV,whatevs
"('Asfaldi',)",tänav,TÄNAV,whatevs
"('Elisabeth', 'Aspe')",tänav,TÄNAV,whatevs
"('Aspe',)",tänav,TÄNAV,whatevs
"('Astangu',)",tänav,TÄNAV,whatevs
"('Astelpaju',)",tänav,TÄNAV,whatevs
"('Astra',)",tänav,TÄNAV,whatevs
"('Astri',)",tänav,TÄNAV,whatevs
"('Asuja',)",tänav,TÄNAV,whatevs
"('Asula',)",tänav,TÄNAV,whatevs
"('Asunduse',)",tänav,TÄNAV,whatevs
"('Auga',)",tänav,TÄNAV,whatevs
"('Aukamäe',)",tänav,TÄNAV,whatevs
"('Auli',)",tänav,TÄNAV,whatevs
"('Auna',)",tänav,TÄNAV,whatevs
"('Auriku',)",tänav,TÄNAV,whatevs
"('Auru',)",tänav,TÄNAV,whatevs
"('Ausamba',)",tänav,TÄNAV,whatevs
"('Auvärava',)",tänav,TÄNAV,whatevs
"('Avamaa',)",tänav,TÄNAV,whatevs
"('Avar',)",tänav,TÄNAV,whatevs
"('Avi',)",tänav,TÄNAV,whatevs
"('Karl', 'Ernst', 'von', 'Baeri')",tänav,TÄNAV,whatevs
"('Baeri',)",tänav,TÄNAV,whatevs
"('Bajadeeri',)",tänav,TÄNAV,whatevs
"('Balti',)",tänav,TÄNAV,whatevs
"('Barsbütteli',)",tänav,TÄNAV,whatevs
"('Basseini',)",tänav,TÄNAV,whatevs
"('Bastioni',)",tänav,TÄNAV,whatevs
"('Arsenti', 'Bastrakovi')",tänav,TÄNAV,whatevs
"('Bastrakovi',)",tänav,TÄNAV,whatevs
"('Bensiini',)",tänav,TÄNAV,whatevs
"('Betooni',)",tänav,TÄNAV,whatevs
"('Bordoo',)",tänav,TÄNAV,whatevs
"('?I.', 'Borodini')",tänav,TÄNAV,whatevs
"('Borodini',)",tänav,TÄNAV,whatevs
"('Briketi',)",tänav,TÄNAV,whatevs
"('Oskar', 'Cheri')",tänav,TÄNAV,whatevs
"('Cheri',)",tänav,TÄNAV,whatevs
"('Ancis', 'Daumani')",tänav,TÄNAV,whatevs
"('Daumani',)",tänav,TÄNAV,whatevs
"('Depoo',)",tänav,TÄNAV,whatevs
"('Dolomiidi',)",tänav,TÄNAV,whatevs
"('Dunkri',)",tänav,TÄNAV,whatevs
"('Ebumäe',)",tänav,TÄNAV,whatevs
