,15386
Ravi tn.27,45
Kõpu,13
Vabaduse pst. 2-2,42
"Ravi 10, Kohtla-Järve",12655
Mahtra 48 - 113,7
Vana 53,4
"Tartu mnt. 38, Mustvee",27
"Sõrve mnt. 5, Salme",14
Toome 6,386
Aia 24,6
Kuldre k.,141
Meremäe,37
Tööstuse 5,3
"Meegomäe küla, Võru vald, Võruma",8
"Kooli 5, Sõmeru",3
Tervise 1,4
Sadama 14,2
Viru 1,188
K�leri 8,1
Alu tee 1 RAPLA 79515,986
"Kooli 5, Sõmeru",4
"Puusepa 1a, Tartu",20
Koidu 23,38
"Ed. Vilde 14a, Rakvere 44310",24
"Rüütli 36, Pärnu 80011",2
Pargi 30,39
Tartu mnt.18,24
Aasa 4,134
PÄRNU MNT 104,30
Tööstuse 13,166
�les�idu 1,6
Pärna allee 7,5
"Puusepa 1a, Tartu",230
Ülase 13,9
Pärnu 65,67
"TULEVIKU 4, Rakvere",19
E.Vilde 2A Rakvere,33
"Pargi 30, Keila 76607",77
Lembitu 2a,356
Suur-Sepa 14,543
Narva mnt. 7,26
VEE 6,142
Mehikoorma,7
Paldiski mnt 68,9147
Pärna,3
Sadama 16,540
Kangelaste 24 Narva,12
"TULEVIKU 1, RAKVERE 44310",114
Vastse-Kuuste vald,5
Pärnamäe tee 114,20
Pärnu mnt 104 Tallinn 11312,25
"Ed. Vilde 14a, Rakvere 44310",2
Paldiski mnt. 68A,46
J.W. Jannseni 5,11
Kooli 10,75
Hariduse 6,157
71024 Pärsti vald Viljandi,3300
Punane 14A,49
"Kohtla-Järve, Ravi 10",30
Puusepa 1a Tartu,11162
Pärnu mnt. 22,29
Vaba 6,192
Turu 8/10,298
"Lagedi, Betooni 15a-11",14
Teenuste 2  Tabasalu,27
Noorma k.,1
Hiiu 39,85
"Põllu 8, Avinurme",2
Supelranna 21,3318
Väike-Maarja Ravi 1,40
Aia 25a,10
Elva tee 1,32
"Punane 16-403, Tallinn 13620",3
"Põhja pst. 16, Viljandi",1
Vahekoidu tee10,5
Kooli 1,15
Liivaoja 4-24,274
Vormsi perearstikeskus Sireli talu; Hullo küla ;Vormsi vald; Läänemaa 91301,2
Pargi 6,1
Allika 6,14
Meegomäe küla,3458
Nooruse 3,356
Karja 2-4,6
S�le 63,6
Tiigi 8,667
"Kangelaste,2 Narva",1
Ülesõidu 1,109
Sõpruse pst. 179/181,85
Sänna mnt.4,8
"Turu 2, Kanepi",12
"VILJANDI 4, 72211 TÜRI",280
aadress,19
71024 Viljandi vald Viljandimaa,175
Suur-Sõjamäe 8a,51
"Tilsi, Laheda vald",4
Paldiski mnt. 68a,92
Voika 23,107
L.Puusepa 1A,56
"Tööstuse 25, Kõrgessaare alavik",1
Lihula mnt. 5,41
Vaksali 17a,41
"Kauba 19, Kuressaare",7
Kaluri tee 5a,48
"Piiri 2, Jõgeva, 48307",9
"LÄÄNE-VIRUMAA, VINNI",79
"TALLINNA 29,KURESSAARE",74
Metsa 28,29
Viljandi mnt 8-15,76
"Turu 2, Kanepi",63
S�nna mnt.4,3
Nooruse 2,209
"Uus 2, Põlva",124
Instituudi tee 5,6
"Liiva küla, Muhu vald",4
Köleri 8,15
"Hariduse 15, Narva",148
Rakvere tee 1,72
Padise,1
Valgej�e 14a,87
Noorma küla,93
Uus 2,375
Pikk 10,76
Koskla 16,131
Lasnamäe 20,28
"Sütiste17, Telef.6525404",1
"Ristiku 1, 80010 Pärnu",7776
"Tartu mnt. 38, Mustvee",5
Pargi 27,152
Lasteaia tn.4,406
SIKUPILLI 7,229
"Piiri 4, Jõgeva",111
Uusk�la 3 - 75,2
"Ravi 1, Väike-Maarja",1
"Martna,",8
V�idu 5,1
Joala 3,53
"Riia 13, Tartu",12
Pärnu tn 56,6
"Uus 2, Palamuse",26
Seminari 10a,4
Ravi 27 -326,4
Kivila 11,7
Ahula 17-13,2
Jaama 1,1
Puusepa 1a,7229
Hariduse 15,32
Kalevi 2 - 48,14
Ravi  27,1
Leie,32
"Turu 2,Tartu",2
Turu 8,6
Turu 2,34
Narva mnt.112,11
Hariduse 2,129
Valga mnt. 9,92
Jaama 14-2,302
Rahu 18,2
"Vilisuu 7, 13626  Tallinn",18
Peetri 2,2222
Väike-Maarja Ravi 1,96
"Tulika 19, Tallinn, 10613",4
Kase tee 11-5 Pisisaare,1
Tallinna mnt. 2,44
"Kesk 35, Elva",4
"Sõmeru, Kooli 5",13
Keskpuiestee 36/21,297
Kose tee 59,54
Pärnu mnt 80,8
Kesk 23,120
Melliste,18
Kreutzwaldi 7,50
Joala 12,15
Võidu 30,187
Raudtee 64,561
Peetri 2    Valga 68206,6510
Pikk tn. 15 Ambla,90
MUUSEUMI 5,41
Pikk 9 Kose alevik,3
Tartu 15A,23
Tuukri 58,72
"Punane 61, Tallinn 13619",123
Teguri tn 37b,3
A. H. Tammsaare tee 47,1
"PAUL KERESE 3,NARVA",1
"Piiri 4, Jõgeva",422
Kase 1,3
Kajaka 9,15
Posti 39,123
