*	Z	SYM
&	J	SYM
%	Y	SYM
$	Y	SYM
#	Y	SYM
@	Y	SYM
~	Y	SYM
£	Y	SYM
·	Y	PUNCT
§	Y	SYM
+	Z	SYM
…	Y	PUNCT
•	Y	PUNCT
ω	Y	SYM
