_phrase_,type,grammar_symbol
callable,string,string
"('Aa', 'vald')",asula,ASULA
"('Aa',)",asula,ASULA
"('Aadma', 'vald')",asula,ASULA
"('Aadma',)",asula,ASULA
"('Aakre', 'vald')",asula,ASULA
"('Aakre',)",asula,ASULA
"('Aaspere', 'vald')",asula,ASULA
"('Aaspere',)",asula,ASULA
"('Aavere', 'vald')",asula,ASULA
"('Aavere',)",asula,ASULA
"('Abja', 'vald')",asula,ASULA
"('Abja',)",asula,ASULA
"('Adavere', 'vald')",asula,ASULA
"('Adavere',)",asula,ASULA
"('Adila', 'vald')",asula,ASULA
"('Adila',)",asula,ASULA
"('Aegviidu', 'vald')",asula,ASULA
"('Aegviidu',)",asula,ASULA
"('Ageri', 'vald')",asula,ASULA
"('Ageri',)",asula,ASULA
"('Ahaste', 'vald')",asula,ASULA
"('Ahaste',)",asula,ASULA
"('Ahja', 'vald')",asula,ASULA
"('Ahja',)",asula,ASULA
"('Ahli', 'kn')",asula,ASULA
"('Ahli',)",asula,ASULA
"('Ahula', 'vald')",asula,ASULA
"('Ahula',)",asula,ASULA
"('Aidu', 'vald')",asula,ASULA
"('Aidu',)",asula,ASULA
"('Aimla', 'vald')",asula,ASULA
"('Aimla',)",asula,ASULA
"('Aitsra', 'vald')",asula,ASULA
"('Aitsra',)",asula,ASULA
"('Alajõe', 'vald')",asula,ASULA
"('Alajõe',)",asula,ASULA
"('Alamõisa', 'vald')",asula,ASULA
"('Alamõisa',)",asula,ASULA
"('Alatskivi', 'vald')",asula,ASULA
"('Alatskivi',)",asula,ASULA
"('Alavere', 'vald')",asula,ASULA
"('Alavere',)",asula,ASULA
"('Albu', 'vald')",asula,ASULA
"('Albu',)",asula,ASULA
"('Alliku', 'vald')",asula,ASULA
"('Alliku',)",asula,ASULA
"('Alt-Käpla', 'vald')",asula,ASULA
"('Alt-Käpla',)",asula,ASULA
"('Alu', 'vald')",asula,ASULA
"('Alu',)",asula,ASULA
"('Alutaguse', 'vald')",asula,ASULA
"('Alutaguse',)",asula,ASULA
"('Ambla', 'kirikuvald')",asula,ASULA
"('Ambla',)",asula,ASULA
"('Ambla', 'vald')",asula,ASULA
"('Andja', 'vald')",asula,ASULA
"('Andja',)",asula,ASULA
"('Angerja', 'vald')",asula,ASULA
"('Angerja',)",asula,ASULA
"('Anija', 'vald')",asula,ASULA
"('Anija',)",asula,ASULA
"('Anna', 'kirikuvald')",asula,ASULA
"('Anna',)",asula,ASULA
"('Anna', 'vald')",asula,ASULA
"('Annikvere', 'vald')",asula,ASULA
"('Annikvere',)",asula,ASULA
"('Anseküla', 'kirikuvald')",asula,ASULA
"('Anseküla',)",asula,ASULA
"('Antsla', 'vald')",asula,ASULA
"('Antsla',)",asula,ASULA
"('Ao', 'vald')",asula,ASULA
"('Ao',)",asula,ASULA
"('Arbavere', 'vald')",asula,ASULA
"('Arbavere',)",asula,ASULA
"('Are', 'vald')",asula,ASULA
"('Are',)",asula,ASULA
"('Arju-Kareda', 'vald')",asula,ASULA
"('Arju-Kareda',)",asula,ASULA
"('Arkna', 'vald')",asula,ASULA
"('Arkna',)",asula,ASULA
"('Aru', 'vald')",asula,ASULA
"('Aru',)",asula,ASULA
"('Aruküla', 'vald')",asula,ASULA
"('Aruküla',)",asula,ASULA
"('Arula', 'vald')",asula,ASULA
"('Arula',)",asula,ASULA
"('Arumõisa', 'vald')",asula,ASULA
"('Arumõisa',)",asula,ASULA
"('Arussaare', 'vald')",asula,ASULA
"('Arussaare',)",asula,ASULA
"('Aruvalla', 'vald')",asula,ASULA
"('Aruvalla',)",asula,ASULA
"('Aseri', 'vald')",asula,ASULA
"('Aseri',)",asula,ASULA
"('Assamalla', 'vald')",asula,ASULA
"('Assamalla',)",asula,ASULA
"('Asuküla', 'vald')",asula,ASULA
"('Asuküla',)",asula,ASULA
"('Atla', 'vald')",asula,ASULA
"('Atla',)",asula,ASULA
"('Atsalama-Jõetaguse', 'vald')",asula,ASULA
"('Atsalama-Jõetaguse',)",asula,ASULA
"('Auaste', 'vald')",asula,ASULA
"('Auaste',)",asula,ASULA
"('Audla', 'vald')",asula,ASULA
"('Audla',)",asula,ASULA
"('Audru', 'kirikuvald')",asula,ASULA
"('Audru',)",asula,ASULA
"('Audru', 'vald')",asula,ASULA
"('Aulepa', 'vald')",asula,ASULA
"('Aulepa',)",asula,ASULA
"('Auvere', 'vald')",asula,ASULA
"('Auvere',)",asula,ASULA
"('Auvere-Joala', 'vald')",asula,ASULA
"('Auvere-Joala',)",asula,ASULA
"('Avanduse', 'vald')",asula,ASULA
"('Avanduse',)",asula,ASULA
"('Avinurme', 'rannavald')",asula,ASULA
"('Avinurme',)",asula,ASULA
"('Avinurme', 'vald')",asula,ASULA
"('Edise', 'vald')",asula,ASULA
"('Edise',)",asula,ASULA
"('Ehmja', 'vald')",asula,ASULA
"('Ehmja',)",asula,ASULA
"('Eidapere', 'vald')",asula,ASULA
"('Eidapere',)",asula,ASULA
"('Eikla', 'vald')",asula,ASULA
"('Eikla',)",asula,ASULA
"('Eistvere', 'vald')",asula,ASULA
"('Eistvere',)",asula,ASULA
"('Eivere', 'vald')",asula,ASULA
"('Eivere',)",asula,ASULA
"('Elistvere', 'vald')",asula,ASULA
"('Elistvere',)",asula,ASULA
"('Elme', 'vald')",asula,ASULA
"('Elme',)",asula,ASULA
"('Elva', 'linn')",asula,ASULA
"('Elva',)",asula,ASULA
"('Elva', 'vald')",asula,ASULA
"('Emmaste', 'kirikuvald')",asula,ASULA
"('Emmaste',)",asula,ASULA
"('Emmaste', 'vald')",asula,ASULA
"('Emumäe', 'vald')",asula,ASULA
"('Emumäe',)",asula,ASULA
"('Enge', 'vald')",asula,ASULA
"('Enge',)",asula,ASULA
"('Enivere', 'vald')",asula,ASULA
"('Enivere',)",asula,ASULA
"('Erastvere', 'vald')",asula,ASULA
"('Erastvere',)",asula,ASULA
"('Ereda', 'vald')",asula,ASULA
"('Ereda',)",asula,ASULA
"('Ervita', 'vald')",asula,ASULA
"('Ervita',)",asula,ASULA
"('Essu', 'vald')",asula,ASULA
"('Essu',)",asula,ASULA
"('Haabersti', 'vald')",asula,ASULA
"('Haabersti',)",asula,ASULA
"('Haabneeme', 'vald')",asula,ASULA
"('Haabneeme',)",asula,ASULA
"('Haage', 'vald')",asula,ASULA
"('Haage',)",asula,ASULA
"('Haanja', 'vald')",asula,ASULA
"('Haanja',)",asula,ASULA
"('Haansalu', 'vald')",asula,ASULA
"('Haansalu',)",asula,ASULA
"('Haapsalu', 'kirikuvald')",asula,ASULA
"('Haapsalu',)",asula,ASULA
"('Haapsalu', 'linn')",asula,ASULA
"('Haaslava', 'vald')",asula,ASULA
"('Haaslava',)",asula,ASULA
"('Habaja', 'vald')",asula,ASULA
"('Habaja',)",asula,ASULA
"('Haeska', 'vald')",asula,ASULA
"('Haeska',)",asula,ASULA
