_phrase_,type,grammar_symbol
"('Alamõisa', 'ms')",talu,TALU
"('Alamõisa',)",talu,TALU
"('Alamäe', 't')",talu,TALU
"('Alamäe',)",talu,TALU
"('Alatskivi', 'ms')",talu,TALU
"('Alatskivi',)",talu,TALU
"('Alavere', 'ms')",talu,TALU
"('Alavere',)",talu,TALU
"('Albre', 't')",talu,TALU
"('Albre',)",talu,TALU
"('Albu', 'ms')",talu,TALU
"('Albu',)",talu,TALU
"('Ale', 't')",talu,TALU
"('Ale',)",talu,TALU
"('Alealuse', 't')",talu,TALU
"('Alealuse',)",talu,TALU
"('Aleksandri', 'krjms')",talu,TALU
"('Aleksandri',)",talu,TALU
"('Alemi', 't')",talu,TALU
"('Alemi',)",talu,TALU
"('Alenõmme', 't')",talu,TALU
"('Alenõmme',)",talu,TALU
"('Alesauna', 't')",talu,TALU
"('Alesauna',)",talu,TALU
"('Alesti', 't')",talu,TALU
"('Alesti',)",talu,TALU
"('Aleti', 't')",talu,TALU
"('Aleti',)",talu,TALU
"('Aletme', 't')",talu,TALU
"('Aletme',)",talu,TALU
"('Alevisaare', 'krjms')",talu,TALU
"('Alevisaare',)",talu,TALU
"('Alfa', 't')",talu,TALU
"('Alfa',)",talu,TALU
"('Alivälja', 't')",talu,TALU
"('Alivälja',)",talu,TALU
"('Aljamäe', 't')",talu,TALU
"('Aljamäe',)",talu,TALU
"('Allamäe', 't')",talu,TALU
"('Allamäe',)",talu,TALU
"('Alli', 't')",talu,TALU
"('Alli',)",talu,TALU
"('Allika', 'krjms')",talu,TALU
"('Allika',)",talu,TALU
"('Allika', 'krvms')",talu,TALU
"('Allika', 'ms')",talu,TALU
"('Allika', 'saun')",talu,TALU
"('Allika', 't')",talu,TALU
"('Allikahansu', 't')",talu,TALU
"('Allikahansu',)",talu,TALU
"('Allikakivi', 't')",talu,TALU
"('Allikakivi',)",talu,TALU
"('Allikamatsi', 't')",talu,TALU
"('Allikamatsi',)",talu,TALU
"('Allikapaju', 't')",talu,TALU
"('Allikapaju',)",talu,TALU
"('Allikate', 't')",talu,TALU
"('Allikate',)",talu,TALU
"('Allika-Uuetoa', 't')",talu,TALU
"('Allika-Uuetoa',)",talu,TALU
"('Allikavälja', 't')",talu,TALU
"('Allikavälja',)",talu,TALU
"('Allika-Ülejõe', 't')",talu,TALU
"('Allika-Ülejõe',)",talu,TALU
"('Allikivi', 't')",talu,TALU
"('Allikivi',)",talu,TALU
"('Allikmäe', 't')",talu,TALU
"('Allikmäe',)",talu,TALU
"('Alliknõmme', 't')",talu,TALU
"('Alliknõmme',)",talu,TALU
"('Allikoja', 't')",talu,TALU
"('Allikoja',)",talu,TALU
"('Alliksaare', 'ms')",talu,TALU
"('Alliksaare',)",talu,TALU
"('Alliksaare', 't')",talu,TALU
"('Alliku', 'kõrts')",talu,TALU
"('Alliku',)",talu,TALU
"('Alliku', 't')",talu,TALU
"('Allikuranna', 't')",talu,TALU
"('Allikuranna',)",talu,TALU
"('Al', 'Mare', 'büroohoone')",talu,TALU
"('Al', 'Mare')",talu,TALU
"('Mare',)",talu,TALU
"('Al', 'Mare', 'Galeriimajad')",talu,TALU
"('Galeriimajad',)",talu,TALU
"('Alo', 't')",talu,TALU
"('Alo',)",talu,TALU
"('Alsuka', 't')",talu,TALU
"('Alsuka',)",talu,TALU
"('Alta', 't')",talu,TALU
"('Alta',)",talu,TALU
"('Alt-Eeriku', 't')",talu,TALU
"('Alt-Eeriku',)",talu,TALU
"('Althansu', 't')",talu,TALU
"('Althansu',)",talu,TALU
"('Alt-Ilba', 't')",talu,TALU
"('Alt-Ilba',)",talu,TALU
"('Alt-Illassaare', 't')",talu,TALU
"('Alt-Illassaare',)",talu,TALU
"('Alt-Keastu', 't')",talu,TALU
"('Alt-Keastu',)",talu,TALU
"('Alt-Kuivamäe', 't')",talu,TALU
"('Alt-Kuivamäe',)",talu,TALU
"('Altkõrtsu', 'krjms')",talu,TALU
"('Altkõrtsu',)",talu,TALU
"('Alt-Käpla', 'ms')",talu,TALU
"('Alt-Käpla',)",talu,TALU
"('Alt-Liiakse', 't')",talu,TALU
"('Alt-Liiakse',)",talu,TALU
"('Altmardi', 't')",talu,TALU
"('Altmardi',)",talu,TALU
"('Altmetsa', 't')",talu,TALU
"('Altmetsa',)",talu,TALU
"('Altmäe', 't')",talu,TALU
"('Altmäe',)",talu,TALU
"('Altpere', 't')",talu,TALU
"('Altpere',)",talu,TALU
"('Altsaare', 't')",talu,TALU
"('Altsaare',)",talu,TALU
"('Altsauna', 't')",talu,TALU
"('Altsauna',)",talu,TALU
